seed_keyword	keyword	monthly_search	product_count	keyword_id
자갈	건담	38270	459849	35
화분	개업화분	30470	493399	2929
모종	모조에스핀	28770	63063	13567
씨앗	씨앗밥상	27170	118	412352635
자갈	피규어장식장	18220	336223	28462
자갈	리바이스청바지	17110	340394	87199
자갈	자가리코	16050	3038	4286958
바크	바클라바	15320	3317	2322895
모종	모조에스핀 코트	13450	6270	237398547
바크	바크 슬리퍼	11670	498	311295347
화분	거실화분	10810	117364	35060
화분	화분받침대	10150	724233	28742
화분받침	화분받침대	10150	724233	28742
자갈	제트스트림볼펜	10100	223923	1984168
자갈	마사토	9520	20893	28552
바크	바크 클로그	8530	200	376260828
자갈	현무암	8130	32346	5332
화분	대형화분	7810	626811	28542
씨앗	푸른씨앗	7770	1117	94614294
텃밭	언니네텃밭	7700	607	99146546
씨앗	디딤씨앗통장	7550	0	237072060
배양토	상토 배양토	7390	18793	238444368
자갈	자갈치	7310	9362	4286965
모종	모조에스핀 원피스	7140	13235	238631367
비닐하우스	비닐하우스 트랙	6960	21728	347249629
모종	모조에스핀 자켓	6830	23990	238791335
비료	유박 비료	6600	9391	249935857
화분	미니 화분	6470	515574	239875698
비닐하우스	비닐하우스 자재	5930	131418	237672740
마사토	사카이 마사토	5890	17	238284386
화분	화분 선반	5760	618600	239447574
화분	도자기 화분	5630	223014	239874180
식물영양제	식물 영양제	5620	185242	237509956
화분	도자기화분	5520	224319	28545
화분받침	화분선반	5390	636544	28748
자갈	유아양말	5360	561450	23866
비료	비료살포기	5030	205389	1997391
씨앗	연꽃씨앗	4910	4259	3760244
비료	유박비료	4870	10645	367941
바크	바크초콜릿 만들기	4750	2466	237892834
비료	요리왕비룡	4740	60	73364079
화분	플라스틱화분	4460	626523	28697
비료	콩비지비료	4240	0	508521940
화분	화분쇼핑몰	4200	5881509	28749
바크	아드바크	4180	614	98468006
화분받침	다이소화분	3980	305	28537
자갈	펄라이트	3950	12966	28692
모종	모조에스핀 블라우스	3750	14009	238495588
비료	비룡	3680	26313	74034821
씨앗	씨앗젓갈	3620	3025	1992607
비료	비룡소	3480	839	4485294
배양토	다이소 배양토	3350	136	238933834
비닐하우스	조립식 비닐하우스	3250	150595	237416684
비닐하우스	비닐하우스 비닐	3150	696187	238073962
자갈	공룡인형	3120	128268	737606
비닐하우스	미니 비닐하우스	3070	116996	237418947
비닐하우스	미니비닐하우스	2960	118901	28560
자갈	콩자갈	2920	8719	3768278
화분	조화화분	2890	277243	36371
가드닝	가드니아	2890	16021	7719961
마사토	마사토 가격	2670	18431	238284388
가드닝	가드니아 제빵소	2670	0	313037711
멀칭	멀칭비닐	2650	81302	28553
화분받침	화분거치대	2600	285741	28723
마사토	마사토끼	2570	111	236387742
씨앗	씨앗호떡	2480	4292	3935147
식물지지대	식물 지지대	2400	394913	241191443
자갈	콩자갈에폭시	2270	903	107848642
씨앗	수련씨앗	2160	671	43182973
화분	화분영양제	2090	283848	49721
비닐하우스	소형비닐하우스	2070	117749	48714
화분받침	다이소 화분받침대	2060	62	241295132
모종	딸기모종	2030	7093	55530
자갈	난석	2000	11112	28528
자갈	함양자갈유과	1990	144	236481590
자갈	콩자갈 에폭시	1970	938	250144443
화분받침	화분받침대바퀴	1930	101358	3817409
비닐하우스	비닐하우스 시공	1900	10562	237672743
저면관수	저면관수 화분	1870	51357	237891156
식물영양제	다이소 식물 영양제	1840	28	237935362
