연관키워드,월간검색수(PC),월간검색수(모바일),월평균클릭수(PC),월평균클릭수(모바일),월평균클릭률(PC),월평균클릭률(모바일),경쟁정도,월평균노출 광고수
오메가3,"43,300","208,900",225.5,2814.8,0.54%,1.39%,높음,8
집들이선물,"15,200","65,900",36.2,244.2,0.24%,0.4%,높음,10
비타민B,"7,890","41,500",41.1,778,0.54%,1.96%,높음,8
종합비타민,"8,160","40,300",69.9,612.3,0.87%,1.59%,높음,8
지갑,"7,500","37,500",7.4,98.8,0.11%,0.29%,높음,10
화분,"7,770","34,500",105.3,458.6,1.38%,1.51%,높음,8
틈새수납장,"5,010","36,000",69.5,1390.1,1.43%,4.09%,높음,8
멀티비타민,"6,110","28,800",59.8,414,1%,1.51%,높음,8
화장지,"8,910","24,400",18.3,348.3,0.22%,1.46%,높음,8
하이퍼셀오메가3,"1,970","31,300",44,1747.4,2.2%,5.22%,높음,9
개업화분,"5,170","25,300",173.6,1144.7,3.38%,4.87%,높음,8
알티지오메가3,"2,830","25,100",16.4,346,0.59%,1.42%,높음,8
오메가3추천,"4,520","23,000",43.1,722.5,0.97%,3.2%,중간,8
스킨답서스,"2,540","20,500",8.5,366.8,0.35%,1.95%,높음,8
맥문동효능,"1,180","20,600",17.4,1505.6,1.51%,7.58%,높음,10
전지가위,"8,810","12,700",26,260.6,0.3%,2.38%,높음,8
고압세척기,"5,670","15,800",68.9,261,1.26%,1.89%,높음,8
호박씨,"2,610","17,900",14.8,527.3,0.58%,3.06%,높음,8
장식장,"3,620","15,800",17.5,157.4,0.5%,1.12%,높음,10
공구,"4,740","14,600",88.6,154,1.9%,1.1%,높음,10
유칼립투스,"1,860","17,000",3.4,71,0.19%,0.45%,높음,8
홍콩야자,"1,660","16,300",10.4,308.3,0.64%,2.02%,높음,8
파키라,"1,290","15,100",7.8,292.6,0.62%,2.11%,높음,10
아레카야자,"1,780","14,500",16.8,295.5,0.98%,2.67%,높음,8
해바라기씨,"1,910","13,900",12.3,292.6,0.65%,2.24%,높음,8
공기정화식물,"2,790","12,500",22.3,268.3,0.81%,2.34%,높음,8
콘솔,"2,680","12,500",15.9,221,0.61%,1.91%,높음,10
식물성오메가3,"1,990","12,500",18.5,279.5,0.94%,2.33%,높음,8
고무나무,"2,020","12,100",18.3,260,0.92%,2.29%,높음,8
식물등,"2,390","10,600",41.9,322.1,1.79%,3.44%,높음,8
뱅갈고무나무,"1,750","10,900",22.4,271.5,1.3%,2.69%,높음,8
개운죽,"1,190","11,300",10,224.3,0.85%,2.14%,높음,8
자재,"4,930","7,490",1.2,0.8,0.03%,0.02%,높음,10
남천,960,"11,100",6.3,97.4,0.68%,0.98%,높음,10
로션,"1,990","10,000",4.5,54.5,0.23%,0.57%,높음,8
구근,"1,150","10,300",10.8,112.8,0.97%,1.18%,높음,8
차량용품,"2,520","8,660",27.1,87,1.09%,1.08%,높음,8
분무기,"2,990","7,900",10.3,97.3,0.35%,1.32%,높음,8
인도고무나무,350,"10,500",4.2,93.2,1.22%,0.98%,높음,10
거실화분,960,"9,850",19.9,300.5,2.1%,3.6%,높음,8
금어초,640,"9,980",1.7,9,0.27%,0.1%,높음,3
수납함,"2,720","7,600",11.9,82.5,0.45%,1.16%,높음,8
여인초,"1,330","8,830",19,382.8,1.46%,4.67%,높음,8
화분받침대,"1,690","8,470",17.9,149.9,1.09%,2.09%,높음,8
가구브랜드,"2,730","7,260",58,130.2,2.19%,1.89%,높음,7
식판,"1,480","8,330",20.5,96.5,1.38%,1.21%,높음,8
종합영양제,"1,670","8,120",15.4,230,0.94%,2.92%,높음,8
마사토,"2,160","7,280",22.3,105.4,1.04%,1.63%,높음,8
벵갈고무나무,< 10,"9,110",0,24.3,-,0.29%,높음,8
RTG오메가3,"1,750","7,240",14.5,112.5,0.84%,1.62%,높음,8
모래주머니,"1,410","7,240",11.8,62.6,0.85%,0.98%,높음,8
메밀,930,"7,590",3.3,173.3,0.36%,2.53%,높음,8
종합비타민추천,"1,460","6,810",12.9,150.3,0.91%,2.3%,높음,8
전동분무기,"1,090","6,920",8.8,70.3,0.83%,1.13%,높음,8
홍화씨,680,"7,280",6.1,177.3,0.91%,2.57%,높음,8
대형화분,"1,620","6,190",34,121.3,2.14%,2.23%,높음,8
방아잎,680,"7,010",4.9,266.5,0.73%,4.14%,높음,8
야생화,"1,080","6,440",7.5,48.8,0.73%,0.84%,높음,10
임산부멀티비타민,"6,690",830,1.9,18.8,0.03%,2.29%,높음,8
피로회복영양제,"1,000","6,500",3.5,77.8,0.36%,1.23%,높음,8
자스민꽃,380,"6,960",8.9,383.7,2.47%,6.32%,중간,8
축하화분,"1,550","5,320",56.9,277.5,3.66%,5.54%,높음,8
뉴트리코어오메가3,670,"6,140",6.4,160.4,0.97%,2.68%,높음,8
꽃씨몰,"1,220","5,240",103.2,740.3,8.87%,15.11%,높음,8
관음죽,630,"5,710",2,169.3,0.33%,3.4%,높음,8
씨앗,"1,420","4,910",52.5,153.3,3.78%,3.44%,높음,8
미니화분,"1,180","4,990",8.3,109.6,0.71%,2.52%,높음,8
개업축하화분,930,"4,810",29.4,184.7,3.2%,4.29%,높음,8
조경수,"1,010","4,730",18.5,41,1.86%,0.93%,높음,8
식물영양제,"1,060","4,500",10.3,113.8,0.97%,2.73%,높음,8
농약분무기,"1,150","4,390",18.3,142.4,1.67%,3.81%,높음,8
도자기화분,640,"4,870",17.8,132.4,2.84%,3.18%,높음,8
화분선반,820,"4,570",10.4,134.5,1.29%,3.27%,높음,8
금전수키우기,420,"4,890",1.4,83,0.34%,1.8%,높음,10
분갈이흙,"1,370","3,920",12.3,120.6,0.95%,3.52%,높음,8
실내식물,430,"4,840",3,42,0.71%,0.95%,높음,8
피트모스,"1,020","4,130",15.1,140.9,1.52%,3.84%,높음,8
비료살포기,810,"4,240",23.6,206.9,2.95%,5.54%,높음,8
물조리개,"1,630","3,340",1.6,32.3,0.11%,1.03%,높음,8
유박비료,600,"4,330",3.8,154.1,0.66%,4.1%,높음,10
연꽃씨앗,510,"4,400",6.3,164.3,1.48%,4.85%,높음,8
봄꽃종류,570,"4,260",7.9,93.9,1.44%,2.52%,높음,10
미네랄워터,580,"4,190",2.5,49.5,0.44%,1.3%,높음,8
인테리어화분,610,"4,130",7.3,74.3,1.2%,2.1%,높음,8
묘목,"1,430","3,300",60.6,94,4.47%,3.2%,높음,10
튤립구근,720,"3,900",18.4,145.3,2.61%,4.07%,높음,8
청소용품,"1,450","3,170",57.1,92.3,4.03%,3.05%,높음,8
